127.0.0.1 - - [17/Jul/2023:12:04:53 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:04:54 +0530] "GET /Project_4/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:07:30 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1412
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:08:13 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3040
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:09:31 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:14:17 +0530] "GET /Project_4/ForgetPasswordCtl HTTP/1.1" 200 2541
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:14:39 +0530] "POST /Project_4/ForgetPasswordCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:15:31 +0530] "POST /Project_4/ForgetPasswordCtl HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:17:55 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3040
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:17:57 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:17:57 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:17:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:17:59 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:18:19 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3040
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:18:22 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:18:22 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:18:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:18:22 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:23:24 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3040
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:23:58 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:23:58 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:29:01 +0530] "GET /Project_4/ctl/MyProfileCtl HTTP/1.1" 200 6784
